datetime,date,account_type,category,type,asset_class,name,symbol,shares,price,amount,fee,tax,currency,original_amount,original_currency,fx_rate,description,transaction_id,counterparty_name,counterparty_iban,payment_reference,mcc_code
2025-03-20T16:08:01.082227Z,2025-03-20,PEA,CASH,MANUAL_CASH_TRANSFER,,,,,,0.85,,,EUR,,,,Remboursement de frais,2bcfd873-7b65-4e86-a173-e6a8b4b9916d,,,,
2025-03-25T15:58:42.163489Z,2025-03-25,PEA,CASH,MANUAL_CASH_TRANSFER,,,,,,0.01,,,EUR,,,,Remboursement de frais,0a517e00-026b-45bd-9088-552dbef90165,,,,
2025-04-01T08:45:39.885722Z,2025-04-01,DEFAULT,CASH,INTEREST_PAYMENT,,,,,,0.05,,-0.01,EUR,,,,Interest payment Booking,9f6f5aef-c84f-4577-bebd-cec760210ed0,,,,
2025-04-02T08:57:36.207Z,2025-04-02,PEA,TRADING,BUY,FUND,MSCI World Swap PEA EUR (Acc),IE0002XZSHO1,2,5.394,-10.79,,,EUR,,,,"Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 2",2641be65-bd12-4c2b-997f-efcaec21295d,,,,
2025-04-02T12:38:58.111673Z,2025-04-02,DEFAULT,CASH,TRANSFER_INBOUND,,,,,,13,,,EUR,,,,Incoming transfer from M.       CHARPENTIER NOLAN,9b21521b-6eb5-4967-b95c-5a7c2770f062,,,,
2025-04-02T09:10:39.329080Z,2025-04-02,PEA,CASH,TRANSFER_IN,,,,,,9.93,,,EUR,,,,Versement PEA,4002f024-1dc7-4069-a21c-169c09503533,,,,
2025-04-02T09:10:39.389675Z,2025-04-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-9.93,,,EUR,,,,Versement PEA,03a29c23-e3d5-460c-a229-e0b4fd5cb703,,,,
2025-04-13T18:46:26.953647Z,2025-04-13,DEFAULT,CASH,TRANSFER_INSTANT_INBOUND,,,,,,20,,,EUR,,,,Incoming transfer from M. CHARPENTIER NOLAN,b819147c-75a0-47b4-9f6d-5cbe21d12c3c,,,,
2025-04-16T09:31:48.894Z,2025-04-16,PEA,TRADING,BUY,STOCK,Engie,FR0010208488,1,18.545,-18.55,,-0.07,EUR,,,,"Savings plan execution FR0010208488 ENGIE S.A. INH.      EO 1, quantity: 1",d9265679-0838-4578-b934-162415f88ac2,,,,
2025-04-16T09:31:56.906258Z,2025-04-16,PEA,CASH,TRANSFER_IN,,,,,,18.62,,,EUR,,,,Versement PEA,fa3a4cd9-1d9b-481d-8135-b4706d54c7e5,,,,
2025-04-16T09:31:56.867119Z,2025-04-16,DEFAULT,CASH,TRANSFER_OUT,,,,,,-18.62,,,EUR,,,,Versement PEA,49d8451d-d9e4-4ff3-b646-c1f6f9a52258,,,,
2025-04-29T15:04:05.162421Z,2025-04-29,PEA,CASH,DIVIDEND,STOCK,Engie,FR0010208488,1,,1.48,,,EUR,,,,Cash Dividend for ISIN FR0010208488,113b24bc-b36b-4495-8661-282d4c7197e6,,,,
2025-04-29T06:42:07.910572Z,2025-04-29,DEFAULT,CASH,TRANSFER_INBOUND,,,,,,52,,,EUR,,,,Incoming transfer from M.       CHARPENTIER NOLAN,e9885c5e-f228-4552-8f29-bb1a5dccb78f,,,,
2025-05-01T00:14:27.590581Z,2025-05-01,DEFAULT,CASH,INTEREST_PAYMENT,,,,,,0.07,,-0.03,EUR,,,,Interest payment Booking,2f88cbb9-88cc-4c35-9016-8807fb939589,,,,
